cfo,7 snr=0,13 snr=0,7 snr=100,13 snr=100
0.34985,0.29263,0.29681,0.27395,0.29586
0.35843,0.29386,0.29797,0.26426,0.30046
0.36475,0.29718,0.29819,0.27496,0.29104
0.37421,0.29441,0.29655,0.26545,0.294
0.37806,0.2989,0.29889,0.27443,0.29283
0.38595,0.30128,0.29712,0.28089,0.29034
0.39195,0.30052,0.29957,0.27615,0.29261
0.39328,0.2972,0.3001,0.27149,0.29383
0.39948,0.2967,0.30135,0.27692,0.29951
0.40066,0.29069,0.29861,0.26971,0.29358
0.40545,0.30063,0.29621,0.27265,0.28841
0.41083,0.29878,0.29871,0.27951,0.29858
0.41845,0.29633,0.30117,0.27546,0.29688
0.42714,0.30119,0.29889,0.27037,0.29148
0.43172,0.29707,0.29957,0.27347,0.29273
0.44029,0.29543,0.29952,0.2686,0.29048
0.45017,0.29763,0.30021,0.26866,0.294
0.45993,0.29454,0.29788,0.2667,0.29113
0.4656,0.29663,0.29889,0.27578,0.29693
0.46661,0.30171,0.29887,0.27674,0.29487
0.46742,0.29758,0.2967,0.27645,0.29236
0.47478,0.29909,0.29952,0.26774,0.29142
0.47629,0.29799,0.29941,0.26865,0.28786
0.47804,0.29757,0.29809,0.27436,0.28952
0.48671,0.29938,0.29884,0.28139,0.29786
0.49605,0.29951,0.296,0.2639,0.2996
0.50352,0.29554,0.30117,0.2815,0.30365
0.50988,0.2973,0.29893,0.2778,0.2964
0.519,0.29736,0.29868,0.28495,0.2931
0.52759,0.30028,0.29577,0.26853,0.29799
0.53495,0.29396,0.29339,0.28803,0.29716
0.53607,0.29916,0.298,0.27469,0.29271
0.54008,0.29171,0.29864,0.27493,0.29135
0.54722,0.30088,0.29601,0.27665,0.28807
0.5549,0.29838,0.29703,0.27209,0.29382
0.56274,0.29565,0.29912,0.26171,0.28795
0.56782,0.29964,0.3011,0.27588,0.29285
0.57781,0.2989,0.29546,0.272,0.2966
0.58502,0.2974,0.29552,0.28149,0.30316
0.58824,0.2955,0.29922,0.26031,0.29665
0.59004,0.30116,0.29771,0.27219,0.29237
0.5965,0.29929,0.29844,0.26496,0.29657
